"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"RotaryEncoder_Alps_EC12E-SMDSwitch_Vertical_H20mm_CircularMountingHoles";1;"Color_Encoder";;;
2;"J1";"PinSocket_2x10_P2.54mm_Vertical_SMD_Mirror";1;"wESP Connector";;;
3;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"wESP Power Jumper";;;
4;"EXT2,EXT1";"PinHeader_1x10_P2.54mm_Vertical_SMD_Pin1Left";2;"NS(HN1x10)";;;
5;"D2,D16,D15,D1,D14,D13,D12,D11,D10,D9,D8,D7,D6,D5,D4,D3";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";16;"WS2812B";;;
6;"R14,R13,R12,R11,R10,R9,R8,R7,R6,R5,R4,R3,R2,R1";"R_0402_1005Metric";14;"10K";;;
7;"C12,C9,C13,C11,C6,C5";"C_0402_1005Metric";6;"0.1uF";;;
8;"C10,C4,C3,C2,C1";"C_0805_2012Metric";5;"1uF";;;
9;"RV2";"Potentiometer_TT_P0915N_Flush";1;"SpeedPot";;;
10;"RV1";"Potentiometer_TT_P0915N_Flush";1;"BrightPot";;;
11;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC14";;;
12;"C8,C7";"C_0402_1005Metric";2;"0.01uF";;;
13;"SW2";"RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles";1;"Mode_Encoder";;;
